,ROUTE_ID,ROUTE_NM,ROUTE_ABRV,DSTNC,ROUTE_TY,SSTTN_NM,ESTTN_NM,CARALC,FIRCAR_TM,LSTCAR_TM,GROUP_NM
222,100100285,5633,5633,55.82,4,노온사동,순복음교회,14,0.042,0.225, 범일운수
223,100100266,5634,5634,28.47,4,광명공영차고지,여의도,13,0.0415,0.225, 보영운수
224,100100084,571,571,57.68,3,가산동,진관공영차고지,11,0.042,0.223, 신인운수
225,100100286,5712,5712,43.5,4,가산동기점,홍대입구역,9,0.043,0.223, 한남여객
226,100100287,5713,5713,52.0,4,안양비산동,신촌기차역,9,0.0405,0.2225, 서울매일버스
227,100100288,5714,5714,41.53,4,광명공영차고지,이대입구,8,0.0415,0.221, 보영운수
228,100100085,600,600,38.0,3,온수동,광화문,8,0.04,0.233, 서울교통네트웍
238,100100086,601,601,51.7,3,개화동,혜화역,12,0.04,0.225, 다모아자동차
249,100100087,602,602,37.47,3,양천공영차고지,시청앞,10,0.041,0.223, 양천운수
251,100100088,603,603,35.9,3,신월동,시청,10,0.042,0.23, 중부운수
252,100100089,604,604,42.3,3,신월동기점,중구청앞,13,0.04,0.225, 신길교통
253,100100090,605,605,57.3,3,강서공영차고지.개화역,서울역.후암동,11,0.04,0.222, 공항버스
254,100100091,606,606,62.9,3,부천상동,조계사,15,0.04,0.223, 신길교통
261,100100289,6211,6211,50.2,4,신월동,상왕십리,11,0.042,0.223, 중부운수
263,100100093,640,640,38.3,3,신월동기점,강남역,10,0.042,0.225, 중부운수
264,100100094,641,641,41.3,3,문래동,양재동,6,0.041,0.224, 중부운수
265,100100290,6411,6411,54.8,4,신정동,선릉역,12,0.0345,0.2215, 한남여객
266,100100096,643,643,45.0,3,양천차고지,강남역,10,0.043,0.224, 관악교통
267,100100097,650,650,42.48,3,외발산동,낙성대입구,9,0.04,0.224, 영인운수
268,100100098,651,651,51.5,3,방화동,관악구청,11,0.04,0.224, 김포교통
269,100100291,6511,6511,37.5,4,구로동,서울대,20,0.04,0.23, 한남여객
270,100100292,6512,6512,37.36,4,구로동,서울대,10,0.035,0.223, 보성운수
271,100100294,6514,6514,50.9,4,양천공영차고지,서울대학교,13,0.04,0.22, 도원교통
272,100100521,6515,6515,54.0,4,양천공영차고지,경인교육대학교,10,0.041,0.221, 관악교통
273,100100576,6516,6516,50.0,4,양천공영차고지,박미삼거리,17,0.04,0.214, 양천운수
274,100100099,652,652,47.9,3,신월동기점,금천우체국,9,0.04,0.224, 신길교통
275,100100497,653,653,27.92,3,외발산동기점,가산디지털단지역,16,0.043,0.232," 신길교통, 영인운수"
276,115000007,654,654,44.5,3,방화동,노들역,12,0.04,0.223, 김포교통
277,116000004,660,660,45.86,3,온수동,가양역,15,0.04,0.223," 보성운수, 서울교통네트웍"
279,100100102,661,661,53.2,3,부천상동,영등포신세계백화점,20,0.04,0.224, 신길교통
280,100100453,6613,6613,31.0,4,양천공영차고지,대림역,17,0.043,0.225, 세풍운수
281,100100297,6614,6614,35.5,4,양천공영차고지,부천옥길지구,15,0.043,0.224, 세풍운수
282,116000002,6615,6615,19.1,4,양천공영차고지,천왕역,18,0.043,0.23, 세풍운수
283,100100298,6616,6616,27.19,4,철산동,온수동,14,0.043,0.231, 세풍운수
284,100100299,6617,6617,19.0,4,양천공영차고지,목동우성아파트,12,0.05,0.233, 도원교통
285,100100550,662,662,36.99,3,외발산동기점,여의나루역,15,0.04,0.231, 영인운수
286,100100300,6620,6620,25.12,4,양천공영차고지,당산역,15,0.05,0.233, 도원교통
287,100100301,6623,6623,31.9,4,양천공영차고지,여의도,14,0.041,0.225, 양천운수
288,100100302,6624,6624,24.1,4,신월동,이대목동병원,9,0.05,0.234, 중부운수
289,100100303,6625,6625,31.832,4,문래동,화곡역,14,0.043,0.23, 중부운수
290,100100304,6627,6627,28.34,4,양천공영차고지,이대목동병원,14,0.043,0.23, 양천운수
291,100100305,6628,6628,27.13,4,외발산동,여의도,11,0.041,0.232, 영인운수
292,100100306,6629,6629,43.0,4,방화동,영등포역,11,0.043,0.224, 김포교통
293,100100307,6630,6630,36.72,4,외발산동기점,영등포시장연흥극장,16,0.042,0.225, 영인운수
294,100100308,6631,6631,38.2,4,강서공영차고지.개화역,영등포시장,8,0.042,0.225, 공항버스
295,100100309,6632,6632,34.96,4,강서공영차고지.개화역,당산역,11,0.043,0.23, 공항버스
296,100100312,6637,6637,37.1,4,노온사동,목동,8,0.043,0.231, 범일운수
297,100100313,6638,6638,25.8,4,철산동,오목교,13,0.043,0.23, 세풍운수
298,100100601,6640A,6640A,20.7,4,양천공영차고지,양천공영차고지,14,0.043,0.231, 세풍운수
299,100100602,6640B,6640B,20.7,4,양천공영차고지,양천공영차고지,14,0.043,0.231, 세풍운수
300,100100316,6642,6642,30.6,4,강서공영차고지,가양9단지,12,0.044,0.223, 정평운수
301,100100318,6645,6645,27.46,4,강서공영차고지,가양9단지,14,0.044,0.223, 정평운수
302,100100320,6647,6647,23.7,4,강서공영차고지.개화역,강서면허시험장.메이필드호텔,8,0.05,0.23, 정평운수
303,115000005,6648,6648,29.0,4,방화동,양천구청,15,0.043,0.23, 김포교통
304,114000001,6649,6649,8.7,4,신도림역,오목교역,15,0.055,0.235," 공항버스, 신흥운수"
305,100100322,6654,6654,14.7,4,신풍역,여의도역,13,0.045,0.233," 공항버스, 신흥운수"
306,100100329,6657,6657,19.6,4,양천공영차고지,강서한강자이아파트,19,0.05,0.23, 도원교통
312,100100330,6712,6712,43.2,4,방화동,서강대학교,14,0.043,0.224, 김포교통
313,100100293,6713,6713,37.77,4,철산동,홍대입구역,11,0.043,0.222, 세풍운수
314,100100331,6714,6714,33.8,4,양천공영차고지,이대부고,17,0.043,0.23, 양천운수
315,100100332,6715,6715,30.5,4,신월동,상암동,9,0.043,0.232, 중부운수
316,100100451,6716,6716,48.1,4,양천공영차고지,이대입구,11,0.043,0.222, 세풍운수
317,100100495,672,672,39.0,3,방화동기점,이대후문,15,0.043,0.225, 김포교통
318,100100551,673,673,51.0,3,부천상동,이대부고,18,0.043,0.225, 신길교통
319,111000008,674,674,28.25,3,신월동기점,연세대,17,0.042,0.23," 보광교통, 신길교통"
320,100100440,700,700,61.96,3,대화동,숭례문,16,0.043,1.0, 동해운수
321,100100103,701,701,38.4,3,진관차고지,종로2가,11,0.04,0.23, 한국BRT
322,100100450,7011,7011,34.6,4,은평차고지,중구청,10,0.043,0.231, 유성운수
323,100100449,7013A,7013A,39.0,4,은평차고지,남대문시장,22,0.043,0.23, 유성운수
324,100100448,7013B,7013B,39.1,4,은평차고지,남대문시장,22,0.0445,0.231, 유성운수
325,100100447,7016,7016,45.7,4,은평차고지,상명대,9,0.043,0.223, 유성운수
326,100100337,7017,7017,36.6,4,은평차고지,롯데백화점,11,0.043,0.23, 보광교통
327,100100338,7018,7018,26.4,4,북가좌동,무교동,10,0.0415,0.23, 서부운수
328,100100339,7019,7019,39.0,4,은평차고지,서소문,10,0.043,0.2255, 현대교통
329,100100340,7021,7021,33.69,4,은평차고지,을지로입구,9,0.043,0.23, 보광교통
330,100100341,7022,7022,30.8,4,구산동,서울역,11,0.043,0.231, 선진운수
331,100100342,7024,7024,13.668,4,봉원사,서울역,16,0.053,0.231, 원버스
332,100100446,7025,7025,33.0,4,은평차고지,종로6가,19,0.041,0.232, 선진운수
333,100100104,702A서오릉,702A,30.638,3,서오릉,종로1가,7,0.04,0.23, 선진운수
334,100100105,702B용두초교,702B,31.52,3,용두초교,종로1가,14,0.0405,0.23, 선진운수
335,116000006,703,703,66.2,3,탄현역,숭례문,20,0.043,0.223, 서울매일버스
336,100100107,704,704,54.3,3,송추,서울역환승센터,15,0.04,0.223, 제일여객
337,100100587,705,705,38.0,3,진관공영차고지,롯데백화점,15,0.035,0.23, 신수교통
338,123000011,708,708,34.0,3,진관차고지,서울역,12,0.043,0.232, 한국BRT
339,100100110,710,710,48.6,3,상암차고지,수유역.강북구청,9,0.035,0.224, 다모아자동차
340,100100111,720,720,48.72,3,진관공영차고지,답십리,9,0.04,0.231, 제일여객
341,100100112,721,721,43.3,3,북가좌동,건대입구역,8,0.042,0.224, 서부운수
342,100100344,7211,7211,48.8,4,진관공영차고지,신설동,15,0.041,0.23," 신수교통, 제일여객"
343,100100499,7212,7212,59.0,4,은평차고지,극동그린아파트앞,12,0.04,0.221, 선진운수
344,100100537,740,740,48.6,3,덕은동,삼성역,12,0.04,0.224, 신촌교통
345,123000010,741,741,65.8,3,진관차고지,세곡동사거리,10,0.04,0.225, 한국BRT
346,100100116,742,742,57.9,3,구산동,교대역,11,0.04,0.221, 선진운수
347,100100114,750A,750A,46.93,3,덕은동종점,서울대학교,10,0.04,0.2135," 신촌교통, 유성운수"
348,100100565,750B,750B,44.0,3,은평차고지,서울대,6,0.04,0.231," 신촌교통, 유성운수"
349,100100117,752,752,51.2,3,구산동,노량진,11,0.04,0.222, 선진운수
350,100100118,753,753,49.2,3,구산동,상도동,12,0.041,0.222, 선진운수
351,100100511,760,760,61.3,3,대화동,영등포소방서타임스퀘어,17,0.043,0.23, 동해운수
352,111000014,761,761,39.0,3,진관공영차고지,영등포역,13,0.04,0.232, 신수교통
353,100100345,7611,7611,39.0,4,은평차고지,여의도,14,0.041,0.224, 현대교통
354,100100346,7612,7612,19.97,4,홍연2교,영등포구청역,10,0.0433,0.234, 현대교통
355,100100347,7613,7613,34.5,4,구산동,여의도,14,0.043,0.23, 선진운수
356,100100437,771,771,53.0,3,대화동종점,디지털미디어시티역,24,0.041,0.233, 동해운수
357,100100348,7711,7711,13.3,4,덕은동종점,홍대입구역,12,0.043,1.0, 신촌교통
358,100100349,7713,7713,24.2,4,홍연2교,신촌오거리,11,0.05,0.233, 현대교통
359,100100462,7715,7715,26.4,4,은평차고지,연신내역,10,0.043,0.233, 선진운수
360,124000008,7719,7719,13.3,4,북가좌동,홍제동,25,0.042,0.23, 서부운수
361,100100352,7720,7720,27.76,4,구산동,신촌,12,0.043,0.231, 선진운수
362,100100353,7722,7722,19.28,4,진관공영차고지,녹번역,15,0.043,0.235, 신수교통
363,100100354,7723,7723,16.53,4,진관공영차고지,구파발역,13,0.043,1.0, 신수교통
364,100100357,7726,7726,24.0,4,덕은동종점,모래내삼거리,21,0.05,1.0, 신촌교통
365,100100358,7727,7727,60.96,4,설문동,신촌,12,0.043,0.225, 신촌교통
366,100100359,7728,7728,58.3,4,대화동,신촌,15,0.04,0.221, 동해운수
367,111000011,773,773,84.0,3,교하운정,불광역,17,0.043,1.003, 제일여객
